uid,session_cnt,hotel_num,click_num,session_time,item_time,item_price,purchase_pct
000185B6-538C-4477-BC9D-72B0CC4DAE03,4,7.5,8.75,1777.75,195.40892857,235.76666667,0
00136746-8EF4-4545-A4D7-8DF573D7E18E,8,3.25,3.625,1059.125,363.94236111,1278.3920635,0
001A7E95-ED14-4E6B-85C4-8292FA18A26D,7,2.4285714286,3,1223.2857143,442.26190476,336.5,0
0024B9CE-CD38-4B6E-B4A5-213F914DFB4F,3,2.3333333333,2.6666666667,1344,650.54166667,2145.625,0
0028B8CE-EF4B-470F-9095-F15A1EE4A745,20,4.9,10.25,4250.75,325.98582428,455.16759158,0.45
003EF3F0-4989-4098-9A31-4DA7DD667C42,7,2.1428571429,2.4285714286,286.71428571,126.53571429,140.5,0.1428571429
003F0647-7255-4B05-B21E-D7D2EA627354,13,1.5384615385,2.4615384615,921.15384615,263.7525641,841.80512821,0.0769230769
00401E96-38DE-4622-8AB7-8899B7BF2863,9,4.3333333333,6.1111111111,2249,323.48433977,803.51908213,0.2222222222
0040CA82-D8B9-42FD-9D14-FAA7D94F8525,4,1.75,2.5,2083.25,500.625,146.5,0.25
004DB67D-905D-4AC4-87FC-6B9FA2C52FBE,3,2.3333333333,3,237,77.5,1043.1666667,0
0057ED6F-AF5A-45E7-B19E-CEE33C5EC127,15,2.8,4.9333333333,2183.4,493.79592593,500.45077778,0.5333333333
005CDB3E-ABE3-4270-8FD5-F7DE687EC7B3,62,2.2096774194,2.9516129032,891.98387097,204.2156682,198.52696742,0.0806451613
005FF383-A721-4F74-899B-9DFC351907A3,7,9.1428571429,12,3901,353.71932234,353.03561617,0
005c27590082,1,2,2,617,308.5,123,0
00636BC8-DF5E-4C30-8BB9-DDB7705A14C2,11,3.3636363636,4.8181818182,2459.5454545,447.68718767,162.47942584,0.5454545455
00670BEE-AC71-4AB9-B222-AD9684E7C107,4,13.75,20,795.25,56.437247475,599.92424242,0
0069CBA1-70E8-41B2-B058-D2EBFB296E4A,12,4.9166666667,6.75,2183.5833333,238.56154355,1578.7382368,0
006DB4E2-8628-4C84-A76F-ACFA2D006D94,34,7,10.205882353,4343.9411765,491.84066337,492.20414079,0.0294117647
007373E7-BD23-4E00-91B5-3F7B12EEA4D9,2,11.5,13.5,2439,361.92156863,116.05392157,0
007383CC-8C03-4D91-A65C-768AA25CF627,1,1,1,60,60,185,0
007BB90D-6D68-4DB6-8AE8-6B594379FDE7,2,4,5,2517.5,438.41666667,203.13333333,0.5
